Epic,Story ID,Story Title,Story Description,Acceptance Criteria,Complexity,MVP Priority,Dependencies,Sprint,Area
"Épica 3: Programas y Clases",HU3.1,Crear Programas Deportivos,"Como Administrador de Escuela, quiero crear diferentes programas deportivos para organizar mis ofertas por deporte y grupo etario.","• Formulario: nombre, tipo deporte, rango edad, nivel habilidad | • Monto de cuota mensual | • Descripción y objetivos | • Capacidad máxima opcional | • Estado activo/inactivo | • Lista de todos los programas | • Editar y eliminar programas | • Validación de duplicados",M,Obligatorio,HU1.3,4,Frontend;Backend
"Épica 3: Programas y Clases",HU3.2,Gestión de Horarios de Clase,"Como Administrador de Escuela, quiero crear horarios de clase semanales para cada programa para que estudiantes y padres sepan cuándo ocurren las sesiones.","• Crear clase: programa, día, hora inicio/fin, ubicación | • Horario semanal recurrente | • Asignar entrenador a clase | • Capacidad máxima por clase | • Vista de calendario semanal | • Editar y eliminar horarios | • Advertencia de conflictos de tiempo | • Duplicar horario",L,Obligatorio,HU3.1,4,Frontend;Backend
"Épica 3: Programas y Clases",HU3.3,Inscripción de Estudiantes en Programas,"Como Administrador de Escuela, quiero inscribir un estudiante en un programa y asignarlo a horarios específicos para que aparezca en asistencia y facturación.","• Desde perfil estudiante: Inscribir en Programa | • Seleccionar programa filtrado por edad | • Seleccionar horarios de clase | • Fecha inicio inscripción | • Estado de pago: Pendiente, Pagado, Exento | • Verificar capacidad | • Aparece en perfil y roster | • Notificar a padre | • Inscripción múltiple",M,Obligatorio,"HU3.2, HU2.3",5,Frontend;Backend
"Épica 3: Programas y Clases",HU3.4,Asignación de Entrenador/Staff,"Como Administrador de Escuela, quiero asignar entrenadores a programas y clases para que puedan gestionar asistencia e interactuar con estudiantes.","• Agregar usuario entrenador | • Asignar a una o múltiples clases | • Entrenador ve solo sus clases asignadas | • Editar asignaciones | • Ver horario de entrenador en calendario | • Permisos: ver estudiantes pero no editar | • Perfil de entrenador con especialidad",M,Deseable,"HU3.2, HU1.2",8,Frontend;Backend
"Épica 3: Programas y Clases",HU3.5,Vista de Roster de Programa,"Como Administrador o Entrenador, quiero ver todos los estudiantes inscritos en un programa específico para ver la composición del equipo.","• Página detalle con lista de inscritos | • Info: nombre, edad, fecha inscripción, estado pago | • Filtrar por horario | • Exportar a PDF/CSV | • Click para ver perfil | • Mostrar conteo vs capacidad | • Indicadores visuales de estado | • Mensaje grupal a padres",S,Deseable,HU3.3,8,Frontend;Backend
"Épica 4: Pagos y Facturación",HU4.1,Integración Pago Automático ePayco,"Como Padre, quiero pagar la colegiatura mensual con tarjeta para que el pago sea instantáneo y automático cada mes.","• Integración checkout ePayco | • Tokenizar tarjeta para recurrencia | • Procesar pago inicial al inscribirse | • Mostrar monto, programa, escuela | • Webhook para confirmación | • Actualizar estado a confirmed/paid | • Generar y enviar recibo PDF | • Manejar pagos fallidos con reintentos | • Fallback a manual",L,Obligatorio,HU3.3,6,Backend;Frontend
"Épica 4: Pagos y Facturación",HU4.2,Flujo de Pago Manual Transferencias,"Como Padre, quiero pagar vía transferencia bancaria y subir comprobante para poder inscribir sin tarjeta de crédito.","• Mostrar datos bancarios de escuela | • Componente subida de comprobante | • Crear registro manual_payments pendiente | • Estado inscripción awaiting_approval | • Notificar admin | • Recibo provisional con marca PENDIENTE | • Padre ve estado en dashboard | • Instrucciones claras de transferencia",M,Obligatorio,HU3.3,6,Frontend;Backend
"Épica 4: Pagos y Facturación",HU4.3,Dashboard Verificación Pagos Admin,"Como Administrador, quiero revisar pagos manuales pendientes y aprobarlos/rechazarlos para prevenir fraude y confirmar inscripciones.","• Dashboard lista pagos pendientes | • Mostrar: nombre padre, estudiante, monto, fecha, imagen | • Ver comprobante tamaño completo | • Acciones: Aprobar, Rechazar | • Al aprobar: confirmed/paid, notificar, recibo oficial | • Al rechazar: rejected, notificar con razón, liberar cupo | • Filtrar por estado | • Log historial con timestamps | • Vista imagen con zoom",M,Obligatorio,HU4.2,7,Frontend;Backend
"Épica 4: Pagos y Facturación",HU4.4,Facturación Mensual Recurrente,"Como Administrador, quiero que el sistema cobre automáticamente los métodos guardados el día 1 de cada mes para no facturar manualmente.","• Cron job día 1 del mes | • Consultar inscripciones activas con automatic | • Usar tokens ePayco para cobros | • Crear registros de transacción | • Al éxito: recibo, actualizar estado | • Al fallo: 3 reintentos en 7 días, notificar | • Dashboard resumen facturación mensual | • Trigger manual para estudiante específico | • Logs de ejecución | • Manejar tarjeta expirada, fondos insuficientes",L,Deseable,HU4.1,9,Backend
"Épica 4: Pagos y Facturación",HU4.5,Historial de Pagos y Recibos,"Como Padre, quiero ver mi historial de pagos y descargar recibos para tener registros contables.","• Dashboard con tabla de transacciones | • Columnas: fecha, monto, programa, estudiante, estado, descarga | • Filtrar por fechas, estudiante, estado | • Generar PDF con info completa | • Admin ve historial de todos | • Exportar a CSV | • Búsqueda por ID transacción | • Indicadores visuales de estado",M,Deseable,"HU4.1, HU4.2",7,Frontend;Backend
"Épica 4: Pagos y Facturación",HU4.6,Recordatorios de Pago y Mora,"Como Administrador, quiero enviar recordatorios automáticos a padres con pagos vencidos para mantener flujo de caja saludable.","• Configurar calendario recordatorios | • Emails/push automáticos en intervalos | • Rastrear historial de recordatorios | • Marcar overdue tras período gracia | • Configurar cargo por mora | • Auto-aplicar mora a próximo pago | • Dashboard pagos vencidos | • Plantillas personalizables | • Suspender recordatorios para casos específicos",M,Opcional,HU4.4,Post-MVP,Backend
"Épica 5: Asistencia y Bienestar",HU5.1,Check-In Rápido de Asistencia,"Como Entrenador, quiero marcar rápidamente qué estudiantes están presentes/ausentes para mantener registros precisos.","• Dashboard muestra clases de hoy | • Abrir hoja de asistencia | • Lista con checkboxes: Presente, Ausente, Tarde, Justificado | • Botón Marcar Todos Presentes | • Guardar con timestamp automático | • Almacenar en attendance_records | • Editar últimos 7 días | • Visible para admin y padre | • Optimizado para móvil | • Modo offline",M,Deseable,"HU3.2, HU3.4, HU3.3",8,Frontend;Backend
"Épica 5: Asistencia y Bienestar",HU5.2,Historial y Reportes de Asistencia,"Como Administrador o Padre, quiero ver el historial de asistencia de un estudiante para monitorear compromiso y abordar ausentismo.","• Resumen: % asistencia, ausencias, tardanzas | • Vista calendario color-coded | • Filtrar por rango fechas | • Exportar a PDF | • Email resumen mensual a padre | • Dashboard tendencias a nivel escuela | • Alertas automáticas baja asistencia | • Comparativa entre programas",M,Deseable,HU5.1,8,Frontend;Backend
"Épica 5: Asistencia y Bienestar",HU5.3,Sistema Check-In con QR,"Como Entrenador, quiero que estudiantes escaneen QR para registrarse para que el rastreo sea más rápido y preciso.","• Generar QR único por sesión tiempo-limitado | • Entrenador muestra QR en tablet/teléfono | • Estudiante/padre escanea con app | • Registro automático al escanear | • Funciona offline con sync | • Prevenir escaneos duplicados | • Fallback a manual | • Logs con timestamp exacto | • Integración con app móvil",L,Opcional,HU5.1,Post-MVP,Frontend;Backend
"Épica 5: Asistencia y Bienestar",HU5.4,Rastreo de Bienestar y Ánimo,"Como Entrenador, quiero registrar notas rápidas de bienestar post-entrenamiento para rastrear estado físico y mental a lo largo del tiempo.","• Formulario opcional tras asistencia | • Ratings: Energía 1-5, Ánimo emoji, Lesión sí/no | • Área texto para notas entrenador | • Almacenar en wellness_reports | • Padre ve historial bienestar | • Admin identifica tendencias | • Controles de privacidad | • Alertas automáticas señales de alerta",M,Opcional,HU5.1,Post-MVP,Frontend;Backend
"Épica 6: Comunicación",HU6.1,Sistema de Notificaciones Push,"Como Padre o Entrenador, quiero recibir notificaciones push sobre eventos importantes para mantenerme informado sin revisar constantemente.","• Integración FCM | • Triggers: confirmación pago, recordatorio, cancelación, inscripción, asistencia | • Centro notificaciones en app | • Lista con título, cuerpo, timestamp, leído/no leído | • Marcar leído, todos leídos, eliminar | • Preferencias de usuario por tipo | • Push web para escritorio | • Deep linking a sección relevante",M,Deseable,"Auth, features que generan notificaciones",8,Frontend;Backend
"Épica 6: Comunicación",HU6.2,Anuncios de Escuela,"Como Administrador, quiero publicar anuncios visibles para todos los padres/estudiantes para compartir noticias importantes.","• Botón Crear Anuncio | • Formulario: título, cuerpo rich text, imagen, fechas publicación/expiración | • Audiencia: Todos, Programa Específico, Clase Específica | • Aparece en dashboard padre y notificaciones | • Ver historial anuncios | • Fijar importantes arriba | • Eliminar o editar | • Vista previa | • Programar publicación futura",M,Deseable,HU6.1,8,Frontend;Backend
"Épica 6: Comunicación",HU6.3,Mensajería Directa Padre-Escuela,"Como Padre, quiero enviar mensaje directo a administración o entrenador para hacer preguntas o reportar preocupaciones.","• Botón Contactar Entrenador/Admin | • Interfaz simple tipo email | • Enviar con adjunto opcional | • Notificación a destinatario | • Hilo de conversación | • Historial guardado | • Marcar resueltas/archivadas | • Admin/Entrenador inicia mensajes | • Búsqueda en historial | • Indicador no leído",M,Opcional,HU6.1,Post-MVP,Frontend;Backend
"Épica 6: Comunicación",HU6.4,Chat en Tiempo Real,"Como Padre o Entrenador, quiero chat en tiempo real para obtener respuestas inmediatas a preguntas urgentes.","• Integración Supabase Realtime o Stream Chat | • Canales por clase/programa | • Estado en línea/fuera de línea | • Indicadores de escritura | • Recibos de lectura | • Compartir imagen/archivo | • Persistencia historial | • Herramientas moderación admin | • Notificaciones nuevos mensajes | • Búsqueda historial",L,Opcional,HU6.3,Post-MVP,Frontend;Backend
"Épica 7: Marketplace",HU7.1,Mapa Interactivo de Escuelas,"Como Padre, quiero ver escuelas deportivas cerca de mí en un mapa para encontrar opciones convenientes.","• Integración Leaflet/Google Maps | • Pines de escuelas con perfiles públicos | • Geolocalización centrar en usuario | • Click pin para preview: nombre, deportes, rating, precio | • Zoom/pan | • Cluster pines alejados | • Botón Direcciones a Google Maps | • Responsive móvil | • Filtros reflejados en mapa | • Toggle mapa/lista",M,Opcional,HU1.3,Post-MVP,Frontend;Backend
"Épica 7: Marketplace",HU7.2,Búsqueda y Filtros de Escuelas,"Como Padre, quiero filtrar escuelas por deporte, precio, edad y rating para encontrar rápidamente la mejor opción.","• Barra búsqueda por nombre o ubicación | • Filtros: deporte multi-select, edad slider, precio slider, rating estrellas | • Vista lista resultados | • Ordenar: distancia, rating, precio, reciente | • Número de resultados | • Limpiar filtros | • Guardar preferencias logueado | • UI móvil amigable | • Actualización mapa en tiempo real",M,Opcional,HU7.1,Post-MVP,Frontend;Backend
"Épica 7: Marketplace",HU7.3,Página Detalle Escuela Perfil Público,"Como Padre, quiero ver información detallada sobre una escuela para decidir si es adecuada para mi hijo.","• Nombre, logo, galería fotos | • Descripción y misión | • Deportes con programas y precios | • Horarios | • Instalaciones y amenidades | • Perfiles entrenadores | • Info contacto | • Sección reseñas/ratings | • CTA Inscribirse/Solicitar Info | • Compartir perfil | • URL pública /schools/{slug} | • Video presentación | • Mapa ubicación",M,Opcional,HU7.2,Post-MVP,Frontend;Backend
"Épica 7: Marketplace",HU7.4,Reseñas y Calificaciones,"Como Padre inscrito, quiero dejar reseña y rating de la escuela para que otros padres tomen decisiones informadas.","• Solo padres inscritos pueden reseñar | • Formulario: estrellas 1-5, título, texto detallado | • Opcional: calificar aspectos específicos | • Requiere autenticación | • Aparece en perfil público | • Rating general es promedio | • Ordenar: reciente, rating alto/bajo, útil | • Admin marca inapropiadas | • Editar/eliminar propia | • Sistema útil upvote | • Respuestas de escuela",M,Opcional,"HU7.3, HU3.3",Post-MVP,Frontend;Backend
"Épica 7: Marketplace",HU7.5,Herramienta Comparación Escuelas,"Como Padre, quiero comparar múltiples escuelas lado a lado para ver diferencias en precios, programas y características.","• Botón Agregar a Comparar | • Comparar hasta 3 escuelas | • Tabla: precio, deportes, edades, rating, ubicación, instalaciones | • Resaltar diferencias | • Eliminar de comparación | • Compartir link comparación | • Responsive móvil scroll/carousel | • Agregar desde página comparación | • Exportar a PDF",M,Opcional,HU7.3,Post-MVP,Frontend;Backend
"Épica 7: Marketplace",HU7.6,Captura de Leads y Formulario Consulta,"Como Escuela, quiero recibir consultas de padres interesados para convertirlos en inscripciones.","• Formulario Solicitar Info: nombre, email, teléfono, edad hijo, mensaje | • Crear registro lead en DB | • Admin recibe email notificación | • Aparece en dashboard CRM/leads | • Padre recibe confirmación con info contacto | • Plantilla respuesta automática | • Rastrear fuente lead | • Webhook CRM externo | • Analytics conversión leads",S,Opcional,HU7.3,Post-MVP,Frontend;Backend
"Épica 8: Dashboards y Analítica",HU8.1,Dashboard de Administrador,"Como Administrador, quiero ver métricas clave de un vistazo al iniciar sesión para entender rápidamente el desempeño de mi academia.","• Stats: total estudiantes activos, ingresos mensuales, programas, asistencia | • Gráfica tendencia ingresos 6 meses | • Feed actividad reciente | • Acciones rápidas: Agregar Estudiante, Crear Clase, Ver Pagos | • Clases próximas hoy/semana | • Tasa cobro pagos | • Responsive móvil | • Carga eficiente con caché | • Modo oscuro opcional",M,Obligatorio,"Estudiantes, Programas, Pagos existen",5,Frontend;Backend
"Épica 8: Dashboards y Analítica",HU8.2,Dashboard de Padre,"Como Padre, quiero ver información de mis hijos, clases próximas y estado de pago para mantenerme informado y organizado.","• Lista hijos inscritos con fotos | • Tarjeta hijo: clase próxima, asistencia, estado pago | • Próxima fecha y monto pago | • Notificaciones recientes | • Acciones: Pagar, Ver Horario, Contactar | • Links a historial asistencia/desempeño | • Mobile-first | • Widget calendario próximas clases | • Acceso rápido a recibos",M,Obligatorio,"HU3.3, HU4.X, HU5.X",7,Frontend;Backend
"Épica 8: Dashboards y Analítica",HU8.3,Reportes Financieros,"Como Administrador, quiero generar reportes financieros mostrando ingresos por programa, métodos de pago y saldos pendientes para gestionar flujo de caja.","• Filtros: fechas, programa, método pago, estado | • Métricas: total ingresos, pago promedio, tasa cobro | • Desglose por programa tabla y gráfica | • Distribución métodos pago | • Saldos pendientes | • Exportar PDF/Excel | • Reportes programados email semanal/mensual | • Proyección próximo mes | • Comparativa mes a mes",M,Deseable,"Pagos, Inscripción data",9,Frontend;Backend
"Épica 8: Dashboards y Analítica",HU8.4,Analítica Inscripción y Retención,"Como Administrador, quiero rastrear tendencias de inscripción e identificar estudiantes en riesgo para mejorar retención.","• Tendencia inscripción línea temporal | • Análisis churn: quiénes se fueron, razones | • Tasa retención por programa | • Indicadores riesgo: baja asistencia, pagos atrasados, sin engagement | • Análisis cohorte | • Exportar a CSV | • Alertas cambios significativos | • Segmentación edad, programa, duración | • Predicción abandono ML opcional",L,Opcional,"Estudiantes, Inscripción, Asistencia data",Post-MVP,Frontend;Backend
"Épica 8: Dashboards y Analítica",HU8.5,Exportación y Generación PDFs,"Como Administrador, quiero exportar varios reportes como PDFs para compartir con stakeholders o guardar como registros.","• Generar PDFs: rosters, recibos, resúmenes financieros, asistencia | • Incluir logo y branding escuela | • jsPDF o server-side Edge Function | • Botón Descargar PDF en páginas relevantes | • Formato imprimible y profesional | • Opción enviar por email | • Plantillas personalizables | • Marca de agua opcional para oficiales",M,Deseable,Features que necesitan reportes,9,Backend;Frontend
